Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
TLS,TCP,1,192.168.1.2,443,58115,567,0.0,1
TCP,TCP,0,42.109.143.1,58063,6881,55,0.4994719247221517,0
DATA,UDP,1,192.168.1.2,6881,54557,62,0.9959589886501199,1
DATA,UDP,0,27.6.96.217,54557,61071,62,1.403756757362802,0
DATA,UDP,0,139.5.250.207,54557,26599,62,1.8664353890372445,0
TCP,TCP,0,45.121.91.107,58116,38125,66,2.326530453762588,0
DATA,UDP,0,139.5.250.23,54557,20313,62,2.7853558719333864,0
TCP,TCP,0,42.109.141.99,58117,6881,66,3.2405553289850184,0
DATA,UDP,1,192.168.1.2,26599,54557,62,3.696646235157392,1
DATA,UDP,1,192.168.1.2,20313,54557,62,4.152969494620047,1
DATA,UDP,0,139.5.250.207,54557,26599,586,4.605908730770984,0
TCP,TCP,1,192.168.1.2,38125,58116,66,5.057182000963923,1
TCP,TCP,0,79.140.80.66,58115,443,54,5.499227041369593,0
TCP,TCP,0,45.121.91.107,58116,38125,54,5.946594893619156,0
DATA,UDP,1,192.168.1.2,61071,54557,62,6.395248368603432,1
DATA,UDP,0,139.5.250.23,54557,20313,567,6.845797163645021,0
DATA,UDP,1,192.168.1.2,26599,54557,62,7.292198595432057,1
DATA,TCP,0,45.121.91.107,58116,38125,558,7.733861135961529,0
DATA,UDP,0,27.6.96.217,54557,61071,130,8.177633240040203,0
DATA,UDP,1,192.168.1.2,20313,54557,62,8.616287501882642,1
DATA,UDP,1,192.168.1.2,61071,54557,62,9.05745386950265,1
TCP,TCP,1,192.168.1.2,38125,58116,60,9.493126997395652,1
TCP,TCP,1,192.168.1.2,6881,58063,60,9.135689832801708,1
TCP,TCP,0,42.109.143.1,58063,6881,54,9.527209815805023,0
DATA,TCP,0,77.219.12.24,58111,45896,55,9.912691798545168,0
TCP,TCP,1,192.168.1.2,6881,58117,60,10.30443897010642,1
TCP,TCP,0,42.109.141.99,58117,6881,54,10.690177785188721,0
DATA,UDP,0,172.217.163.100,50103,443,1392,9.659555005864165,0
DATA,UDP,0,172.217.163.100,50103,443,1085,9.995858511895182,0
DATA,UDP,1,192.168.1.2,443,50103,84,10.338089306403973,1
DATA,UDP,1,192.168.1.2,443,50103,1392,10.667952628973932,1
DATA,UDP,0,172.217.163.100,50103,443,1392,11.000081216734978,0
DATA,UDP,0,172.217.163.100,50103,443,75,11.334809873122635,0
DATA,UDP,1,192.168.1.2,443,50103,67,11.672484720198854,1
DATA,UDP,1,192.168.1.2,443,50103,952,12.004962391874905,1
DATA,UDP,1,192.168.1.2,443,50103,69,12.340619451001187,1
DATA,UDP,0,172.217.163.100,50103,443,75,12.675331007206292,0
TCP,TCP,0,79.140.80.66,58115,443,54,12.918255242120026,0
TCP,TCP,0,23.220.203.49,58104,443,54,13.221234232528108,0
DATA,UDP,1,192.168.1.2,45256,54557,62,13.55501175327235,1
DATA,UDP,0,103.232.131.68,54557,45256,62,13.888093883862195,0
TLS,TCP,1,192.168.1.2,443,58104,78,14.215552615448457,1
TCP,TCP,1,192.168.1.2,443,58104,60,14.547141915272848,1
TCP,TCP,0,23.220.203.49,58104,443,54,14.883190826765851,0
DATA,UDP,1,192.168.1.2,45256,54557,62,15.213514295764414,1
DNS,UDP,0,192.168.1.1,57743,53,80,14.714658980744785,0
DNS,UDP,0,192.168.1.2,53,57743,126,14.98773865255761,0
TCP,TCP,0,43.252.15.244,58105,60941,54,15.283678069451893,0
TCP,TCP,0,219.91.202.83,58118,5121,66,15.58352451526585,0
DATA,UDP,0,123.201.165.2,54557,20630,62,15.877251887733053,0
DATA,UDP,0,172.217.163.35,57744,443,1392,16.148947029440546,0
TLS,TCP,1,192.168.1.2,443,58115,78,16.44536782478735,1
TCP,TCP,1,192.168.1.2,443,58115,60,16.746223892259703,1
TCP,TCP,0,79.140.80.66,58115,443,54,17.00801410965618,0
DATA,UDP,1,192.168.1.2,443,57744,84,17.306702380542124,1
DATA,UDP,1,192.168.1.2,443,57744,1392,17.61026342791182,1
DATA,UDP,0,172.217.163.35,57744,443,75,17.913243173656422,0
DATA,UDP,0,172.217.163.35,57744,443,539,18.215641971067285,0
DATA,UDP,1,192.168.1.2,20630,54557,62,18.517458670388585,1
ICMP,None,1,192.168.1.2,0,0,70,18.818699098456747,1
DATA,UDP,0,123.201.165.2,54557,20630,396,19.119364976764636,0
DATA,UDP,1,192.168.1.2,443,57744,67,19.41945654601094,1
DATA,UDP,1,192.168.1.2,443,57744,1097,19.712703329277545,1
DATA,UDP,1,192.168.1.2,443,57744,69,19.64340301888885,1
DATA,UDP,0,172.217.163.35,57744,443,75,19.345931271486084,0
DATA,UDP,1,192.168.1.2,20630,54557,62,19.618559261190732,1
TCP,TCP,1,192.168.1.2,9933,57866,60,18.486338494566873,1
TCP,TCP,0,202.65.138.198,57866,9933,54,18.74543021619206,0
TCP,TCP,1,192.168.1.2,8292,57868,60,18.99863345144336,1
TCP,TCP,0,106.0.38.174,57868,8292,54,19.261880180415705,0
DATA,UDP,0,174.86.220.200,6881,27032,107,19.519239763496454,0
DATA,UDP,0,219.91.254.91,54557,39944,62,17.452295365432633,0
DATA,UDP,1,192.168.1.2,39944,54557,62,17.680717355311707,1
DATA,UDP,0,219.91.254.91,54557,39944,130,17.904298978636238,0
DATA,UDP,1,192.168.1.2,39944,54557,62,18.12733077761533,1
TCP,TCP,0,42.109.141.99,58117,6881,55,17.26023279845213,0
TCP,TCP,0,23.220.203.49,58119,443,66,16.560395104890382,0
TCP,TCP,1,192.168.1.2,443,58119,66,16.749095790812298,1
TCP,TCP,0,23.220.203.49,58119,443,54,16.944501679012053,0
TLS,TCP,0,23.220.203.49,58119,443,623,17.06165934579829,0
TCP,TCP,1,192.168.1.2,443,58119,60,17.255268024025213,1
TLS,TCP,1,192.168.1.2,443,58119,298,17.4446195782579,1
TLS,TCP,0,23.220.203.49,58119,443,118,17.50166720623702,0
TLS,TCP,0,23.220.203.49,58119,443,146,17.692443097147954,0
TLS,TCP,0,23.220.203.49,58119,443,839,17.890350180547944,0
TLS,TCP,0,23.220.203.49,58119,443,254,18.087920332669007,0
TCP,TCP,1,192.168.1.2,443,58119,60,18.28904363971648,1
TLS,TCP,1,192.168.1.2,443,58119,325,18.44678208681064,1
TLS,TCP,1,192.168.1.2,443,58119,124,18.64300073420638,1
TCP,TCP,0,23.220.203.49,58119,443,54,18.838888023664467,0
TLS,TCP,0,23.220.203.49,58119,443,85,19.034443866024493,0
TLS,TCP,1,192.168.1.2,443,58119,914,19.06848232118892,1
TLS,TCP,1,192.168.1.2,443,58119,1100,19.213604656883103,1
TLS,TCP,1,192.168.1.2,443,58119,1100,19.369856745988493,1
TLS,TCP,1,192.168.1.2,443,58119,1514,19.51715651804623,1
TLS,TCP,1,192.168.1.2,443,58119,686,19.663541576347743,1
TLS,TCP,1,192.168.1.2,443,58119,1514,19.735712834194562,1
TLS,TCP,1,192.168.1.2,443,58119,686,19.92490773317453,1
TLS,TCP,1,192.168.1.2,443,58119,1514,20.105538551825465,1
TLS,TCP,1,192.168.1.2,443,58119,1514,20.277413881710913,1
TLS,TCP,1,192.168.1.2,443,58119,1514,20.44036784342312,1
TCP,TCP,0,23.220.203.49,58119,443,54,20.623692241572115,0
TLS,TCP,1,192.168.1.2,443,58119,1514,20.793917519569863,1
TLS,TCP,1,192.168.1.2,443,58119,1514,20.946534648088697,1
TLS,TCP,1,192.168.1.2,443,58119,76,21.081298836643857,1
TCP,TCP,0,23.220.203.49,58119,443,54,21.258147653989724,0
TLS,TCP,1,192.168.1.2,443,58119,1514,21.41724313710264,1
TLS,TCP,1,192.168.1.2,443,58119,686,21.575696983516405,1
TLS,TCP,1,192.168.1.2,443,58119,1514,21.742263094992392,1
TLS,TCP,1,192.168.1.2,443,58119,1514,21.895091099612845,1
TLS,TCP,1,192.168.1.2,443,58119,1514,22.04282641230437,1
TLS,TCP,1,192.168.1.2,443,58119,1514,22.127921173515073,1
TLS,TCP,1,192.168.1.2,443,58119,1514,22.287282559864668,1
TLS,TCP,1,192.168.1.2,443,58119,1514,22.41045993430388,1
TCP,TCP,0,23.220.203.49,58119,443,54,22.581909240071035,0
TLS,TCP,1,192.168.1.2,443,58119,1514,22.725971951235543,1
TLS,TCP,1,192.168.1.2,443,58119,1514,22.851332679394904,1
TLS,TCP,1,192.168.1.2,443,58119,1514,23.007533314804792,1
TLS,TCP,1,192.168.1.2,443,58119,1514,23.149549266379758,1
TLS,TCP,1,192.168.1.2,443,58119,1514,23.254482939906953,1
TLS,TCP,1,192.168.1.2,443,58119,1514,23.390475234466383,1
TLS,TCP,1,192.168.1.2,443,58119,1514,23.530353580675754,1
TLS,TCP,1,192.168.1.2,443,58119,1514,23.637476682648714,1
TCP,TCP,0,23.220.203.49,58119,443,54,23.775945986738638,0
TLS,TCP,1,192.168.1.2,443,58119,1514,23.93685527397538,1
TCP,TCP,0,23.220.203.49,58119,443,54,24.09268492948995,0
TLS,TCP,1,192.168.1.2,443,58119,1514,24.26204324829918,1
TLS,TCP,1,192.168.1.2,443,58119,1514,24.393533190491866,1
TCP,TCP,0,23.220.203.49,58119,443,54,24.552595684737835,0
TLS,TCP,1,192.168.1.2,443,58119,1514,24.69230821888238,1
TLS,TCP,1,192.168.1.2,443,58119,1514,24.831434731377524,1
TLS,TCP,1,192.168.1.2,443,58119,1514,24.9604618950276,1
TLS,TCP,1,192.168.1.2,443,58119,1514,25.098392604922765,1
TCP,TCP,0,23.220.203.49,58119,443,54,25.26451250468805,0
TLS,TCP,1,192.168.1.2,443,58119,1514,25.224461083422117,1
TLS,TCP,1,192.168.1.2,443,58119,1514,25.369719874862717,1
TCP,TCP,0,23.220.203.49,58119,443,54,25.52406552019305,0
TLS,TCP,1,192.168.1.2,443,58119,1514,25.639559210988956,1
TLS,TCP,1,192.168.1.2,443,58119,1514,25.768834903659915,1
TLS,TCP,1,192.168.1.2,443,58119,1514,25.902356961146527,1
TCP,TCP,0,23.220.203.49,58119,443,54,26.0450213198328,0
TLS,TCP,1,192.168.1.2,443,58119,1514,26.172624732093176,1
TLS,TCP,1,192.168.1.2,443,58119,1514,26.30940915903483,1
TLS,TCP,1,192.168.1.2,443,58119,1514,26.440794681947622,1
TCP,TCP,0,23.220.203.49,58119,443,54,26.601101974334714,0
TLS,TCP,1,192.168.1.2,443,58119,1514,26.73150952964867,1
TLS,TCP,1,192.168.1.2,443,58119,1514,26.866331782458168,1
TCP,TCP,0,23.220.203.49,58119,443,54,26.95115426198894,0
TLS,TCP,1,192.168.1.2,443,58119,1514,27.109640940070964,1
TLS,TCP,1,192.168.1.2,443,58119,1514,27.247892919730695,1
TCP,TCP,0,23.220.203.49,58119,443,54,27.400697201603386,0
TLS,TCP,1,192.168.1.2,443,58119,1514,27.513002321754737,1
TLS,TCP,1,192.168.1.2,443,58119,1514,27.644836121965856,1
TCP,TCP,0,23.220.203.49,58119,443,54,27.80647879935772,0
TLS,TCP,1,192.168.1.2,443,58119,1514,27.886851682203357,1
TLS,TCP,1,192.168.1.2,443,58119,1514,28.042543140209368,1
TCP,TCP,0,23.220.203.49,58119,443,54,28.203050660768742,0
TLS,TCP,1,192.168.1.2,443,58119,931,28.31217676137828,1
TLS,TCP,1,192.168.1.2,443,58119,1100,28.446338176937072,1
TLS,TCP,1,192.168.1.2,443,58119,1100,28.595485613913073,1
TCP,TCP,0,23.220.203.49,58119,443,54,28.610666233513204,0
TCP,TCP,0,23.220.203.49,58119,443,54,28.768905723410125,0
TLS,TCP,1,192.168.1.2,443,58119,1514,28.916589464518754,1
TLS,TCP,1,192.168.1.2,443,58119,686,29.03806697730239,1
TLS,TCP,1,192.168.1.2,443,58119,1514,29.185018954020475,1
TLS,TCP,1,192.168.1.2,443,58119,1514,29.316019295041524,1
TLS,TCP,1,192.168.1.2,443,58119,1514,29.425723610356133,1
TCP,TCP,0,23.220.203.49,58119,443,54,29.394551660223314,0
TCP,TCP,0,23.220.203.49,58119,443,54,29.549759890376507,0
TCP,TCP,0,23.220.203.49,58119,443,54,29.709974019394124,0
TLS,TCP,1,192.168.1.2,443,58119,1514,29.83856088946932,1
TLS,TCP,1,192.168.1.2,443,58119,1514,29.88816945594751,1
TLS,TCP,1,192.168.1.2,443,58119,1514,29.98956663468119,1
TCP,TCP,0,23.220.203.49,58119,443,54,30.132398915537834,0
TCP,TCP,0,23.220.203.49,58119,443,54,30.227596614368206,0
TLS,TCP,1,192.168.1.2,443,58119,1514,30.343332065312786,1
TLS,TCP,1,192.168.1.2,443,58119,1514,30.490285783581516,1
TCP,TCP,0,23.220.203.49,58119,443,54,30.631684709673493,0
TLS,TCP,1,192.168.1.2,443,58119,1514,30.735592741950757,1
TLS,TCP,1,192.168.1.2,443,58119,1514,30.844348938222968,1
TLS,TCP,1,192.168.1.2,443,58119,1514,30.88361429091179,1
TLS,TCP,1,192.168.1.2,443,58119,1514,30.975464774355217,1
TCP,TCP,0,23.220.203.49,58119,443,54,31.119970722829674,0
TLS,TCP,1,192.168.1.2,443,58119,1514,31.269571581185744,1
TLS,TCP,1,192.168.1.2,443,58119,1514,31.37075468476891,1
TCP,TCP,0,23.220.203.49,58119,443,54,31.50901268926615,0
TLS,TCP,1,192.168.1.2,443,58119,1514,31.566422177518373,1
TLS,TCP,1,192.168.1.2,443,58119,1514,31.69310252879356,1
TLS,TCP,1,192.168.1.2,443,58119,1514,31.80328878617566,1
TCP,TCP,0,23.220.203.49,58119,443,54,31.94543412225918,0
TCP,TCP,0,23.220.203.49,58119,443,54,32.0873393967618,0
TLS,TCP,1,192.168.1.2,443,58119,1514,32.19097855283739,1
TLS,TCP,1,192.168.1.2,443,58119,1514,32.24538362713852,1
TLS,TCP,1,192.168.1.2,443,58119,1514,32.35355649421869,1
TCP,TCP,0,23.220.203.49,58119,443,54,32.49939703800336,0
TLS,TCP,1,192.168.1.2,443,58119,1514,32.61774015958456,1
TLS,TCP,1,192.168.1.2,443,58119,1514,32.72479304668055,1
TCP,TCP,0,23.220.203.49,58119,443,54,32.8752892679142,0
TLS,TCP,1,192.168.1.2,443,58119,1514,32.998111832895304,1
TLS,TCP,1,192.168.1.2,443,58119,1514,33.07106793011379,1
TLS,TCP,1,192.168.1.2,443,58119,1514,33.149107257844015,1
TCP,TCP,1,192.168.1.2,443,58119,833,33.26522643832614,1
TCP,TCP,0,23.220.203.49,58119,443,54,33.3920395686782,0
TLS,TCP,1,192.168.1.2,443,58119,1514,33.501961656742374,1
TLS,TCP,1,192.168.1.2,443,58119,1514,33.628146215254674,1
TCP,TCP,0,23.220.203.49,58119,443,54,33.77628518589241,0
TLS,TCP,1,192.168.1.2,443,58119,1514,33.90752588096612,1
TLS,TCP,1,192.168.1.2,443,58119,1514,33.98262356360631,1
TLS,TCP,1,192.168.1.2,443,58119,735,34.085234806793345,1
TCP,TCP,0,23.220.203.49,58119,443,54,34.2210648936137,0
TLS,TCP,1,192.168.1.2,443,58119,1082,34.31737055281661,1
TLS,TCP,1,192.168.1.2,443,58119,1100,34.43576430494805,1
TCP,TCP,0,23.220.203.49,58119,443,54,34.57075613440767,0
TLS,TCP,1,192.168.1.2,443,58119,1514,34.671629380787884,1
TLS,TCP,1,192.168.1.2,443,58119,686,34.755198782365255,1
TLS,TCP,1,192.168.1.2,443,58119,1514,34.89493640051876,1
TLS,TCP,1,192.168.1.2,443,58119,1514,34.938149652972726,1
TLS,TCP,1,192.168.1.2,443,58119,1168,35.04887601752914,1
TCP,TCP,0,23.220.203.49,58119,443,54,35.1819760329165,0
TLS,TCP,1,192.168.1.2,443,58119,1100,35.30917073711142,1
TLS,TCP,1,192.168.1.2,443,58119,1100,35.441826543676804,1
TCP,TCP,0,23.220.203.49,58119,443,54,35.579995680230006,0
TLS,TCP,1,192.168.1.2,443,58119,1514,35.70075632415312,1
TLS,TCP,1,192.168.1.2,443,58119,686,35.80973899693427,1
TCP,TCP,0,23.220.203.49,58119,443,54,35.94146102901723,0
TLS,TCP,1,192.168.1.2,443,58119,1514,36.049852111392596,1
TLS,TCP,1,192.168.1.2,443,58119,1514,36.134804993984986,1
TCP,TCP,0,23.220.203.49,58119,443,54,36.24832581633134,0
TLS,TCP,1,192.168.1.2,443,58119,1514,36.31522222812095,1
TLS,TCP,1,192.168.1.2,443,58119,1514,36.41649222310032,1
TLS,TCP,1,192.168.1.2,443,58119,1514,36.53484419829928,1
TCP,TCP,0,23.220.203.49,58119,443,54,36.67621210059886,0
TLS,TCP,1,192.168.1.2,443,58119,1514,36.80576438419999,1
TLS,TCP,1,192.168.1.2,443,58119,1514,36.917551895950126,1
TLS,TCP,1,192.168.1.2,443,58119,1514,36.90640549318066,1
TCP,TCP,0,23.220.203.49,58119,443,54,37.04659612015218,0
TLS,TCP,1,192.168.1.2,443,58119,1514,37.17493830689823,1
TCP,TCP,0,23.220.203.49,58119,443,54,37.31482270964872,0
TLS,TCP,1,192.168.1.2,443,58119,1514,37.44279235953416,1
TLS,TCP,1,192.168.1.2,443,58119,1514,37.52925986348023,1
TLS,TCP,1,192.168.1.2,443,58119,1514,37.63309983331468,1
TLS,TCP,1,192.168.1.2,443,58119,1514,37.62470156577516,1
