Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time
TCP,TCP,1,192.168.1.2,42658,58689,60,0.0
BITTORRENT,TCP,0,120.23.176.199,58685,38848,122,1.0775242271237944
DATA,UDP,0,188.82.42.11,6881,64495,146,1.8603585831872411
DATA,UDP,1,192.168.1.2,19292,54557,62,2.7853558719333864
DATA,UDP,1,192.168.1.2,1044,54557,62,3.0073464564783756
DATA,UDP,0,115.99.223.123,54557,1044,62,3.7507232182986256
DATA,UDP,1,192.168.1.2,1044,54557,62,4.490760827572029
DATA,TCP,0,77.19.133.211,58665,36036,55,5.2235825934476345
TLS,TCP,0,23.76.156.32,58670,443,213,5.956471841503155
TLS,TCP,0,23.76.156.32,58670,443,215,6.686096138477495
TCP,TCP,1,192.168.1.2,443,58670,60,7.24596309560212
TLS,TCP,1,192.168.1.2,443,58670,494,7.936053810023947
TLS,TCP,1,192.168.1.2,443,58670,495,8.632599800768933
TLS,TCP,1,192.168.1.2,443,58670,1100,9.31846301792617
TCP,TCP,0,23.76.156.32,58670,443,54,10.006575477487264
TLS,TCP,1,192.168.1.2,443,58670,1100,10.690764314704726
TLS,TCP,1,192.168.1.2,443,58670,1514,11.298787182368812
TLS,TCP,1,192.168.1.2,443,58670,686,11.821299078178587
TLS,TCP,1,192.168.1.2,443,58670,1514,12.473298729646984
TLS,TCP,1,192.168.1.2,443,58670,1514,13.084652647075098
TLS,TCP,1,192.168.1.2,443,58670,1514,13.549360078189066
TLS,TCP,1,192.168.1.2,443,58670,904,14.159674714721898
TCP,TCP,0,23.76.156.32,58670,443,54,14.803996667465093
TLS,TCP,1,192.168.1.2,443,58670,1514,15.404343409149194
TLS,TCP,1,192.168.1.2,443,58670,1514,15.956534213487188
TLS,TCP,1,192.168.1.2,443,58670,1514,16.53344425258875
TLS,TCP,1,192.168.1.2,443,58670,1514,17.093040158460138
TLS,TCP,1,192.168.1.2,443,58670,1514,17.657589400289204
TLS,TCP,1,192.168.1.2,443,58670,1514,17.66460500286387
TLS,TCP,1,192.168.1.2,443,58670,708,18.1580085769047
TLS,TCP,1,192.168.1.2,443,58670,1514,18.071255214928517
TCP,TCP,0,23.76.156.32,58670,443,54,18.38566255858844
